Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creators,Alternative Titles,Translated Titles,Uniform Titles,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Notes,Format,Resource Types,Contributors,Publishers,Genres,Subjects,Related Item Urls,Geographic Subjects,Temporal Subjects,Topical Subjects,Bibliographic Id,Languages,Terms Of Use,Tables Of Contents,Physical Description,Other Identifiers,Comments,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,File Checksum,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption TypeFile Other Id,File Comment
Africans in America; 101; The Terrible Transformations (1562-1750),"101 The Terrible Transformation (1562-1750)--Examines the origins of one of the largest forced human migrations in recorded history. After the arrival of the first Africans in Virginia in 1619, the British colonies laid the groundwork for a system of racial slavery which generates profits that ensure the colonies' growth and survival. Producers: Orlando Bagwell and Susan Bellows.",Africans in America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Interview with Akosua Perbi, 1996",1996-10-11,,,,,,,,"Akosua Perbi is interviewed about the impact of raids and kidnappings, warfare as a source of enslavement in Ghana, slave markets in Ghana, slaves given as tributes, minor offences leading to enslavement, external enslavement vs internal enslavement, fear, suspicion and insecurity during the time of slavery, the role of guns and gunpowder, kidnappings in Ghana, songs telling the history of slavery, in Ghana no slave owner had the power of life and death over the slave unlike Atlantic slavery, Ghanans were unaware of the harsh treatment of slaves overseas.",,,,,,,,,,,,,,,,,,,,,nova1,,https://avalon.wgbh.org/hls/avalon/V_F8C937D42C30467597194F62F3A2289D.mp4/master.m3u8,,,,,,,,,,,,,,,,,,
,,,,"Interview with Akosua Perbi, 1996",1997-03-01,,,,,,,,"Margaret Washington is interviewed about the change from indentured labor towards enslaved labor, Virginians' concerns about black and white servants, the earliest Africans in Virginia, the relationships between Europeans and Africans, Jemmy, the leader of the Stono Rebellion, the idea of freedom for Stono rebels, the impact of the Stono Rebellion and the rise of Africans' concern after the Stono Rebellion.",,,,,,,,,,,,,,,,,,,nova_ep_1_uncut.mp4,nova1,nova1,2,https://avalon.wgbh.org/hls/avalon/V_E32E377AF5624059974A8B0A1B41D211.mp4/master.m3u8,,,,,,,,,,,,,,,,,,
Africans in America; 102; Revolution (1750-1805),"102 Revolution (1750-1805)--While the American colonies challenge Britain for independence, American slavery is challenged from within as men and women fight to define what America will be. When the War of Independence is won, black people, both enslaved and free, seize on the language of freedom even while the new nation's Constitution codifies slavery and oppression as a national way of life. Producer: Noland Walker.",Africans in America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Interview with Betty Wood, 1996",1996-09-03,,,,,,,,"Betty Wood is interviewed about blacks fighting in the American Revolution, blacks leaving the US with the British, Dunmore's Proclamation and the fear of slave rebellion, controlling slaves after Dunmore's Proclamation, the significance of Dunmore's Proclamation.",,,,,,,,,,,,,,,,,,,nova_ep_2_interview_outtakes.mp4,nova2,nova2,3,https://avalon.wgbh.org/hls/avalon/V_A21D730ECE724E5183C7E58684D99E3C.mp4/master.m3u8,,,,,,,,,,,,,,,,,,
,,,,"Interview with Colin Powell, 1996",1996-09-06,,,,,,,,"Colin Powell is interviewed about the Declaration of Independence and how it applied to black people, the spirit of liberty, on blacks fighting during the Revolutionary War",,,,,,,,,,,,,,,,,,,nova_ep_2_interview_outtakes.mp4,nova2,nova2,4,https://avalon.wgbh.org/hls/avalon/V_5863A5C8421C43EFA21F4B86248C6340.mp4/master.m3u8,,,,,,,,,,,,,,,,,,
Africans in America; 103; Brotherly Love (1776-1834),"103 Brotherly Love (1776-1834)--Explores the first fifty years of the new nation. In Philadelphia, freedmen and fugitive slaves push the country to live up to the promises made in its Constitution. But with the invention of the cotton gin, slavery expands into America's western frontier, and a revolution in Haiti inspires slave rebellions throughout the southern United States. Producer: Jacquie Jones",Africans in America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Interview with Albert Raboteau, 1996",1996-12-12,,,,,,,,"Albert Raboteau is interviewed about 1793 and the hope brought by the American Revolution, Richard Allen's conversion experience, Christianity and self-worth, founding of the Free African Society, founding of the African Methodist Episcopal Church, the Yellow Fever epidemic in Philadelphia, Richard Allen's reaction to the American Colonization Society, white Christianity vs. black Christianity, Nat Turner's Rebellion, Denmark Vesey's Conspiracy, Gabriel's Rebellion, Jarena Lee's conversion, separation of families, slave preachers, free black preachers and abolition.",,,,,,,,,,,,,,,,,,,frontline.mp4,frontline,frontline,5,https://avalon.wgbh.org/hls/avalon/V_E3C66B5696D042468C8B836A6977AF31.mp4/master.m3u8,,,,,,,,,,,,,,,,,,
,,,,"Interview with Emma Lapsansky, 1996",1996-12-14,,,,,,,,"Emma Lapsansky is interviewed about 1790 as a turning point for African Americans, opportunities in Philadelphia, the Yellow Fever epidemic, Richard Allen, the American Society of Free Persons of Color, Edward Clay cartoons, Pavel Svinin's portraits of African American life in Philadelphia, the 1830 National Negro Convention in Philadelphia, kidnapping of free people, changes from 1825 - 1840, unrest in cities, African Americans come together, Freedom's Journal, Nat Turner's Rebellion part of a bigger movement.",,,,,,,,,,,,,,,,,,,frontline_deleted_scenes_and_bloopers.mp4,frontline,frontline,6,https://avalon.wgbh.org/hls/avalon/V_9F87E3738FE44983B18AB76C7B146B03.mp4/master.m3u8,,,,,,,,,,,,,,,,,,
Africans in America; 104; Judgement Day (1831-1861),"104 Judgment Day (1831-1861)--The nation expands westward; slavery becomes the most divisive issue in American life. Abolitionists struggle to bring the institution down, and the nation is tested as never before. As tensions over slavery erupt into violence, Americans are forced to consider how long the country can continue as a democracy built on the profits of bondage. Producer: Llewellyn Smith.",Africans in America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
