Woo tang batch,woo@foo.edu
Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Publish,Hidden,File,Label,Offset,Skip Transcoding,Absolute Location
,,video recording identifier,144085,THE CLUB,,,,,,,#3163 - 3164 - NOBLE/LUNA,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144086,THE CLUB,,,,,,,#3165 - 3168 FRINGE,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144087,THE CLUB,,,,,,,#3168 - 3169 - FRINGE,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144088,THE CLUB,,,,,,,NOBLE/LUNA 3160 - 3162,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144089,THE CLUB,,,,,,,#3026 - 3028 - STRINGS,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144090,THE CLUB,,,,,,,#3034 - 3035 - JOHNNY WHITE,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144091,THE CLUB,,,,,,,TINA WELCH 3041 - 3042,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144092,THE CLUB,,,,,,,RIGHTEOUS JAZZ 3046 - 3048,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144093,THE CLUB,,,,,,,COLUMBUS EAST 3051 - 3053,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144095,THE CLUB,,,,,,,INDIGOES 3066 - 3068,,,,,,,,,,general,,,,,,,,
,,video recording identifier,144110,THE CLUB,,,,,,,#3148 - 3149 - LUNA CAVETT,,,,,,,,,,general,,,,,,,,
