Woo tang batch,woo@foo.edu
Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Publish,Hidden,File,Label,Offset,Skip Transcoding,Absolute Location
,,video recording identifier,155882,Stevenson : Mystery of Edwindrood,,,,,,1979-01-31,,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155886,Stevenson : Mystery of Edwindrood,,,,,,1979-01-31,,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155889,Stevenson : Mystery of Edwindrood,,,,,,1979-01-31,,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155891,Stevenson : Mystery of Edwindrood,,,,,,1979-01-31,,,,,,,,,,,general,,,,,,,,
,,video recording identifier,149240,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 16 of 67,,,,,,,,,,general,,,,,,,,
,,video recording identifier,149241,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 17 of 67,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203070,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203071,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203072,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203075,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203073,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203074,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202923,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202921,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202922,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202920,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202918,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202919,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202916,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202915,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202914,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,C,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202917,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203067,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203069,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203068,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203061,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203062,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203066,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,203063,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202907,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202912,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202910,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202909,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202913,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202897,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202899,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202898,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202900,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202901,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202902,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202903,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202904,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,A,,,,,,,,,,general,,,,,,,,
,,video recording identifier,202905,Charles Dickens: Barnaby Rudge,,,,,,1979-07-06,B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155729,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 3 of 67,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155731,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 5 of 67,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155732,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 6 of 67,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155733,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 7 of 67,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155734,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 8 of 67,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155735,Dumas: The Three Musketeers,,,,,,1979-07-24,Reel 9 of 67,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155962,Stevenson : Master of Ballantine,,,,,,1979-04-10,13B,,,,,,,,,,general,,,,,,,,
,,video recording identifier,155968,Stevenson : Master of Ballantine,,,,,,1979-04-10,Reel 15B,,,,,,,,,,general,,,,,,,,
