Woo tang batch,woo@foo.edu
Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Publish,Hidden,File,Label,Offset,Skip Transcoding,Absolute Location
,,video recording identifier,181664,Road to Empowerment: A Political Case Study,,,,,,1992-02-13,,,,,,,,,,,general,,,,,,,,
,,video recording identifier,20588,"Teens, Sex and AIDS: Frankly Speaking",,,,,,1992-01-30,,,,,,,,,,,general,,,,,,,,
,,video recording identifier,181677,Remembering Brother Malcolm,,,,,,1992-11-26,(with new open),,,,,,,,,,general,,,,,,,,
,,video recording identifier,227055,Daufuskie Island: Land Where My Fathers Died,,,,,,1991-02-21,No Information,,,,,,,,,,general,,,,,,,,
,,video recording identifier,227431,SAY BROTHER (General Series),,,,,,1968-07-15,Dr. Debra Prothrow-Stith swearing in part 1,,,,,,,,,,general,,,,,,,,
,,video recording identifier,227432,SAY BROTHER (General Series),,,,,,1968-07-15,Dr. Debra Prothrow-Stith swearing in part 2,,,,,,,,,,general,,,,,,,,
,,video recording identifier,227433,Crime And Punishment,,,,,,1989-04-27,Minister Don Muhammad on drugs part 1,,,,,,,,,,general,,,,,,,,
,,video recording identifier,227434,Crime And Punishment,,,,,,1989-04-27,Minister Don Muhammad on drugs part 2,,,,,,,,,,general,,,,,,,,
,,video recording identifier,227436,Crime And Punishment,,,,,,1989-04-27,Sonoma Street at night,,,,,,,,,,general,,,,,,,,
,,video recording identifier,227437,Crime And Punishment,,,,,,1989-04-27,Amanda Houston interview,,,,,,,,,,general,,,,,,,,
,,video recording identifier,227435,Crime And Punishment,,,,,,1989-04-27,Jack Cullen interview,,,,,,,,,,general,,,,,,,,
,,video recording identifier,227705,SAY BROTHER (General Series),,,,,,1968-07-15,Paula Elliot and Friends Jazz band,,,,,,,,,,general,,,,,,,,
,,video recording identifier,228034,SAY BROTHER (General Series),,,,,,1968-07-15,Beth Deare & Barbara Barrow-Murray speak 20 yrs,,,,,,,,,,general,,,,,,,,
