Woo tang batch,woo@foo.edu
Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Publish,Hidden,File,Label,Offset,Skip Transcoding,Absolute Location
,,video recording identifier,130933,Ten O'Clock News,,,,,,12/15/87,"Perennial, inveterate political candidates and disgraced pseudo-celebrities fight back and resurrect themselves, despite their failures and claims of retirement from public arena. Nixon, Hart, Rice, Biden…
 reporter: Kelly",,,,,"News and Current Events, Politics and Government, Social Issues",,,,,general,,,,,,,,
,,video recording identifier,295955,Ten O'Clock News,,,,,,10/11/84,"Vice presidential candidates George Bush and Geraldine Ferraro debate in Philadelphia. Moderated by Sander Vanocur. Panelists John Mashek, Norma Quarles, Robert Boyd, Jack White. reel 1 .",,,,,,,,,,general,,,,,,,,
,,video recording identifier,295315,Ten O'Clock News,,,,,,12/6/82,"Collection of briefs, VOT/SOTs, and stories on: 1) Boston Herald American unions and sale to Rupert Murdoch; newspapers in sidewalk vending box, plant exterior, comments from employees. Interview with Australian journalist Nigel Wade, Michael Wheeler, Stephen Mindich. 2) Hotel workers union fights for better wages and benefits, threatens strike, gets settlement. Cooks, maid, doorman at work. Studio interview with Local 26 president Domenic Bozzotto.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,249383,Ten O'Clock News,,,,,,3/21/89,"1) Operation Rescue prepares for protest at St. Agatha's Church in Milton. Mildred Jefferson, Bill Baird. Pro-choice march outside church. 2) Cocaine abuse among white collar people. 3) Aflatoxin - liver carcinogen produced by fungus on drought-affected corn. 4) Interview with Rep. Frank Hynes and Sen. Michael Barrett on legislators earning outside income. 5) Felicia Lamport verse on John Tower's dilemma. Anchors Lydon and Fields.
 
 Length: 27.38",,,,,,,,,,general,,,,,,,,
,,video recording identifier,200927,Ten O'Clock News,,,,,,1/1/76,"Failed GOP 1988 presidential candidates - Jack Kemp, two spots ""Oil Prices"" and ""Block the Cut"" by Campaign Consultants, Inc.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,194117,Ten O'Clock News,,,,,,,Field Tape: JIMMY CARTER IN FLORIDA,,,,,,,,,,general,,,,,,,,
,,video recording identifier,194118,Ten O'Clock News,,,,,,,field tape: JIMMY CARTER AFTER DEBATE,,,,,,,,,,general,,,,,,,,
,,video recording identifier,194119,Ten O'Clock News,,,,,,,Field Tape: JIMMY CARTER IN SOUTH,,,,,,,,,,general,,,,,,,,
,,video recording identifier,194120,Ten O'Clock News,,,,,,,Field Tape: COLUMBUS DAY PARADE,,,,,,,,,,general,,,,,,,,
,,video recording identifier,194121,Ten O'Clock News,,,,,,,Field Tape: JIMMY CARTER PLAINS,,,,,,,,,,general,,,,,,,,
