Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Publisher,Genre,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
FRONTLINE,,Default Unit,,Easy Money,1997-06-10,,,,,,,,Winkelman interview,Original footage,local,,general,,,,,,,,,,,,,,,,,video recording identifier,94600,,,barcode94600.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode94600.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
NOVA,,Default Unit,,Warriors of the Amazon (Yanamano),1997-06-10,,,,,,,,"Original footage of Yanamano people and their village. Footage includes people walking through the village, doing hair, preparing food, children dancing and playing with spears, and walking along a footpath.",Original footage,local,Scenics / B-roll,general,,,,,Scenics / B-roll,,,,,,Peoples of South America,,,,,,video recording identifier,129761,,,barcode129761.mov,,,https://avalon.wgbh.org/hls/avalon/22807/barcode129761/Preservation Master/barcode129761.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,1987-12-15,,,,,,,,"Perennial, inveterate political candidates and disgraced pseudo-celebrities fight back and resurrect themselves, despite their failures and claims of retirement from public arena. Nixon, Hart, Rice, Biden…
 reporter: Kelly",News Tape,local,,general,,,,,,,,,,,"News and Current Events, Politics and Government, Social Issues",,,,,,video recording identifier,130933,,,barcode130933.mov,,,https://avalon.wgbh.org/hls/avalon/22807/barcode130933/Preservation Master/barcode130933.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,1984-10-11,,,,,,,,"Vice presidential candidates George Bush and Geraldine Ferraro debate in Philadelphia. Moderated by Sander Vanocur. Panelists John Mashek, Norma Quarles, Robert Boyd, Jack White. reel 1 .",News Tape,local,,general,,,,,,,,,,,,,,,,,video recording identifier,295955,,,barcode295955.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode295955.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Making Things Work,,Default Unit,,Care of Books,1972-01-06,,,,,,,,"Host demonstrates how to care for book collections of viewers, describing how books react to different physical conditions, and offering advice on how to store and care for books so they don't mold and rot",Green Label Master (WGBH program),local,Educational,general,,,,,Educational,,,,,,"Antiques and Collectibles, Home Improvement",,,,,,video recording identifier,159097,,,barcode159097.mov,,,https://avalon.wgbh.org/hls/avalon/22807/barcode159097/Preservation Master/barcode159097.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Apollo 13: To the Edge and Back,,Default Unit,,Apollo 13: To the Edge and Back,2500-01-01,,,,,,,,"Not for air, Home video version credits.",Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,67416,,,barcode67416.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode67416/PreservationMaster/barcode67416.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Think Twice,,Default Unit,,THINK TWICE 118,2500-01-01,,,,,,,,,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,217949,,,barcode217949.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode217949/PreservationMaster/barcode217949.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Think Twice,,Default Unit,,THINK TWICE 119,2500-01-01,,,,,,,,,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,217951,,,barcode217951.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode217951/PreservationMaster/barcode217951.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
Mystery of the Senses,,Default Unit,,Mystery of the Senses - part 5 Vision,1995-02-22,,,,,,,,Stunt reel 2 of 2,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,65639,,,barcode65639.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode65639/PreservationMaster/barcode65639.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
American Experience,,Default Unit,,FDR (Part 2),1994-10-12,,,,,,,,"International version 2/95
 FDR - Hour 3 International version doc only",Doc Only Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,217950,,,barcode217950.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode217950/PreservationMaster/barcode217950.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
