Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Publisher,Note,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
Say Brother,,Default Unit,,SAY BROTHER (General Series),2020-01-29,,,,,,,,Ruth Batson interview on Black Institutions,Original footage,local,,general,"1/20/2020 EMu: No tone over bars at top. Audio from content over bars. Audio fluctuates between channels. , Audio Hiss",general,,,,,,,,,,,,Interview,,,,,,US Ethnic Minorities,US Ethnic Minorities,Education,Social Issues - Racism,History,Local Communities,Religion,,,,,,,,,video recording identifier,100164,,,barcode100164.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode100164/PreservationMaster/barcode100164.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
"World, The",,Default Unit,,"World, The (General Series)",2020-01-10,"Mair, Eddie",,,,,1997-11-03,,"This November 3, 1997 episode of The World, hosted by Lisa Mullins and Eddie Mair, includes a report on Iraq's opposition to UN weapons inspectors, including interviews with Nazir Hamdoon, Charles Delflow, and Rob Watson; a Margaret Evans report on a truck driver strike in France; an interview with Alex Boraine on South Africa's Truth and Reconciliation efforts; a Marina Bautin interview on Laika, Russia's favorite dog; and an interview with Lester Thurow on the economic crash in Asia.",Radio program (Master),local,,general,Audio Distortion,general,,,"Hamdoon, Nazir","Mullins, Lisa","Boraine, Alex","Delflow, Charles","Watson, Rob","Evans, Margaret","Bautin, Marina","Thurow, Lester",,Magazine,,,,,,Global Affairs,News and Current Events,Politics and Government,Military Forces and Armaments,Business and Economics,,,,,,,,,,,video recording identifier,102444,,,barcode102444_01.wav,,,https://avalon.wgbh.org/hls/avalon/22811/barcode102444/PreservationMaster/barcode102444_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
The Group,,Default Unit,,Genetic Engineering,2020-02-07,,,,,,1991-11-04,,"11/4/91 Genetic EngineeringDebate show during which they discuss the potential of genetic engineering and how that intersects with current political concerns and issues. Featuring Nancy Cott, Paul Watanabe, Ellen Harris, Margaret Boerner, and Christopher Ricks",Green Label Master (WGBH program),local,,general,"    , Audio Hiss",general,,,,,,,,,,,,Debate,,,,,,Social Issues - Misogyny,Social Issues - Ableism,,,,,,,,,,,,,,video recording identifier,10986,,,barcode10986.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode10986/PreservationMaster/barcode10986.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
"French Chef, The",,Default Unit,,THE FRENCH CHEF,2020-02-07,,,,,,,,"First track: Music reel from  French Chef program.  “Original B & W  Theme I”.   Material undated.  Transfer of material made 8/1/ 98, Transfer #3.Second track: brief clip of audio from the French Chef episode on Veal Prince Orloff. ",Music,local,,general,"2/7/2020 SB: Content starts at 44.1kHz (file_01) and then switches to 48kHz (file_02). The gaps of silence between content are on the DAT., Audio Hiss, Audio Hum, Audio Pops and/or Clicks, Audio Distortion",general,,,,,,,,,,,,Recorded Music,,,,,,Music,Film and Television,,,,,,,,,,,,,,video recording identifier,110788,,,barcode110788_01.wav,,,https://avalon.wgbh.org/hls/avalon/22980/barcode110788/PreservationMaster/barcode110788_01.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Sound,,,,,
The Group,,Default Unit,,Repeat Offenders,2020-02-10,,,,,,1993-10-12,,"Roundtable discussion/debate on legal system and recidivism, failures of the legal system, and need for better systems with young offenders specifically. Participants include Frederick Brown, associate justice of the MA Appeals Court; Bob Gittens, assistant DA of Suffolk County; Kim Hawkins, Professor at Northeastern University Law School; Marianne Hinkel, assistant DA of Norfolk County; and Edward Loughran, Director of the RFK Memorial National Juvenile Justice Project. ",Green Label Master (WGBH program),local,,general,"1/23/2020 EMu: Audio levels fluctuate. Occasional breakup throughout., Audio Hiss, Video Picture Breaks up",general,,,,,,,,,,,,Debate,,,,,,Legal System - Criminal Justice,Legal System - Prisons,Incarceration,Social Issues - Inequality,,,,,,,,,,,,video recording identifier,11536,,,barcode11536.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode11536/PreservationMaster/barcode11536.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
The Group,,Default Unit,,pope and morality,2020-02-07,,,,,,1993-10-11,,"10/11/93                   The Pope's EncyclicalDiscussion by the Group on recent paper released by the pope, on morality. Featuring Bernadette Brooten Professor of Christian Studies at Brandeis University, Margery Eagan columnist for The Boston Herald, James Franklin Religion Writer for the Boston Globe, Greer Gordon Department of religious studies at Regis College, and Virginia Sullivan Finn Weston School of Theology",Green Label Master (WGBH program),local,,general,"  , Audio Hiss, Video Picture Breaks up",general,,,,,,,,,,,,Debate,,,,,,Religion,Social Issues - Misogyny,,,,,,,,,,,,,,video recording identifier,11569,,,barcode11569.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode11569/PreservationMaster/barcode11569.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
The Group,,Default Unit,,Fall TV Season,2020-02-07,,,,,,1993-10-13,,"10/13/93                   The Fall TV SeasonDiscussion by The Group on the new season of television, including recent hits such as NYPD Blue. Featuring Michael Blowen Columnist for the Boston Globe, Monica Collins Television Columnist for the Boston Herald, Kate Mattes owner of Kate's Mystery Books, Rebecca Rollins Freelance Journalist, and David Rosenbaum author of Zaddik",Green Label Master (WGBH program),local,,general,"2/7/2020 JGi: No timecode. , Audio Hiss",general,,,,,,,,,,,,Debate,,,,,,Film and Television,,,,,,,,,,,,,,,video recording identifier,11570,,,barcode11570.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode11570/PreservationMaster/barcode11570.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),2020-02-07,,,,,,,,Original footage of a live performance in front of a live audience by singer Robert Guillaume.,Original footage,local,,general,"1/20/2020 EMu: Audio over bars at top related to content. No tone over bars at top.  , Audio Hiss, End Cut Off",general,,,,,,,,,,,,Performance for a Live Audience,,,,,,Music,Performing Arts,,,,,,,,,,,,,,video recording identifier,117067,,,barcode117067.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode117067/PreservationMaster/barcode117067.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
NOVA,,Default Unit,,Warriors of the Amazon (Yanamano),2020-01-02,,,,,,,,"Original footage of Yanamano people and their village. Footage includes people walking through the village, doing hair, preparing food, children dancing and playing with spears, and walking along a footpath. ",Original footage,local,,general,1/2/2020 RS:Audio content mono on channel 1 and 2. Irregular tone on bars. Blinking audio on channel 1 and 3 during bars. Intermittent audio content.,general,,,,,,,,,,,,Scenics / B-roll,,,,,,Peoples of South America,,,,,,,,,,,,,,,video recording identifier,129761,,,barcode129761.mov,,,https://avalon.wgbh.org/hls/avalon/22807/barcode129761/PreservationMaster/barcode129761.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-01-02,,,,,,1987-12-15,,"Perennial, inveterate political candidates and disgraced pseudo-celebrities fight back and resurrect themselves, despite their failures and claims of retirement from public arena. Featuring images of figures such as Nixon, Hart, Rice, Biden, and others.reporter: Kelly",News Tape,local,N,general,"1/2/2020 JGi:Distorted, non-SMPTE bars at the top. Audio content mono on channel 1 and 2. Alternates between both channels.  ",general,,,,,,,,,,,,News Report,,,,,,News and Current Events,Politics and Government,Social Issues,,,,,,,,,,,,,video recording identifier,130933,,,barcode130933.mov,,,https://avalon.wgbh.org/hls/avalon/22807/barcode130933/PreservationMaster/barcode130933.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,Moving Image,,,,,
