Series Name,Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Note Type,Note,Publish,Hidden,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,Label,Offset,Skip Transcoding,Absolute Location
FRONTLINE,,,video recording identifier,94600,Easy Money,,,,,,1997-06-10,Winkelman interview,,,,,,,,,,local,Original footage,general,,,,barcode94600.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,129761,Warriors of the Amazon (Yanamano),,,Scenics / B-roll,,,1997-06-10,"Original footage of Yanamano people and their village. Footage includes people walking through the village, doing hair, preparing food, children dancing and playing with spears, and walking along a footpath.",,,,,Peoples of South America,,,,,local,Original footage,general,Scenics / B-roll,,,barcode129761.mov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,130933,Ten O'Clock News,,,,,,1987-12-15,"Perennial, inveterate political candidates and disgraced pseudo-celebrities fight back and resurrect themselves, despite their failures and claims of retirement from public arena. Nixon, Hart, Rice, Biden…
 reporter: Kelly",,,,,"News and Current Events, Politics and Government, Social Issues",,,,,local,News Tape,general,,,,barcode130933.mov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,295955,Ten O'Clock News,,,,,,1984-10-11,"Vice presidential candidates George Bush and Geraldine Ferraro debate in Philadelphia. Moderated by Sander Vanocur. Panelists John Mashek, Norma Quarles, Robert Boyd, Jack White. reel 1 .",,,,,,,,,,local,News Tape,general,,,,barcode295955.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Making Things Work,,,video recording identifier,159097,Care of Books,,,Educational,,,1972-01-06,"Host demonstrates how to care for book collections of viewers, describing how books react to different physical conditions, and offering advice on how to store and care for books so they don't mold and rot",,,,,"Antiques and Collectibles, Home Improvement",,,,,local,Green Label Master (WGBH program),general,Educational,,,barcode159097.mov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo 13: To the Edge and Back,,,video recording identifier,67416,Apollo 13: To the Edge and Back,,,,,,,"Not for air, Home video version credits.",,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode67416.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Think Twice,,,video recording identifier,217949,THINK TWICE 118,,,,,,,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode217949.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Think Twice,,,video recording identifier,217951,THINK TWICE 119,,,,,,,,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode217951.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mystery of the Senses,,,video recording identifier,65639,Mystery of the Senses - part 5 Vision,,,,,,1995-02-22,Stunt reel 2 of 2,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode65639.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Experience,,,video recording identifier,217950,FDR (Part 2),,,,,,1994-10-12,"International version 2/95
 FDR - Hour 3 International version doc only",,,,,,,,,,local,Doc Only Master (WGBH program),general,,,,barcode217950.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
