Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Note,Note Type,Note,Note Type,Format,Resource Type,Contributor,Publisher,Genre,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3163 - 3164 - NOBLE/LUNA,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144085,,,barcode144085.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144085.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3165 - 3168 FRINGE,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144086,,,barcode144086.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144086.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3168 - 3169 - FRINGE,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144087,,,barcode144087.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144087.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,NOBLE/LUNA 3160 - 3162,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144088,,,barcode144088.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144088.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3026 - 3028 - STRINGS,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144089,,,barcode144089.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144089.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3034 - 3035 - JOHNNY WHITE,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144090,,,barcode144090.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144090.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,TINA WELCH 3041 - 3042,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144091,,,barcode144091.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144091.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,RIGHTEOUS JAZZ 3046 - 3048,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144092,,,barcode144092.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144092.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,COLUMBUS EAST 3051 - 3053,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144093,,,barcode144093.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144093/PreservationMaster/barcode144093.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,INDIGOES 3066 - 3068,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144095,,,barcode144095.mkv,,,https://avalon.wgbh.org/hls/avalon/barcode144095.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2500-01-01,,,,,,,,#3148 - 3149 - LUNA CAVETT,Green Label Master (WGBH program),local,,general,,,,,,,,,,,,,,,,,video recording identifier,144110,,,barcode144110.mkv,,,https://avalon.wgbh.org/hls/avalon/23033/barcode144110/PreservationMaster/barcode144110.mp4/master.m3u8,,,,,,,480,360,,,,,4:3,480x360,,,,,,
