Collection Name,Collection Description,Unit Name,Collection ID,Title,Date Issued,Creator,Alternative Title,Translated Title,Uniform Title,Statement Of Responsibility,Date Created,Copyright Date,Abstract,Item Type,Technical Notes,Content Type,Format,Resource Type,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Publisher,Subject,Related Item Label,Related Item Url,Geographic Subject,Temporal Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Bibliographic Id,Language,Terms Of Use,Table Of Contents,Physical Description,Other Identifier Type,Other Identifier,Comment,File Label,File Title,Instantiation Label,Instantiation Id,Instantiation Streaming URL,Instantiation Duration,Instantiation Mime Type,Instantiation Audio Bitrate,Instantiation Audio Codec,Instantiation Video Bitrate,Instantiation Video Codec,Instantiation Width,Instantiation Height,File Location,File Checksum,File Size,File Duration,File Aspect Ratio,File Frame Size,File Format,File Date Digitized,File Caption Text,File Caption Type,File Other Id,File Comment
Race To Save The Planet,,Default Unit,,"Waste Not, Want Not",2020-01-03,,,,,,,,"PROGRAM DESCRIPTION: Demonstrates how to generate less waste, take advantage of recycling, and treat waste.  Travels to Peru, Japan, Denmark and California to explode some myths and tell some surprising stories.  Hosted by Meryl Streep.


ITEM DESCRIPTION: WASTE NOT, WANT NOT/ IT NEEDS POLITICAL DECISIONS, Two different hour long documentary segments about social issues of the day, ranging from pollution, to landfills, to bio-diversity in forests. Hosted by Meryl Streep.",PBS backup,1/3/2020 JGi:SMPTE Timecode on channel 3.,Documentary,,Moving Image,,,,,,,,,,,,,,,Environmental Science,Peoples of Southeast Asia,Peoples of Northern Europe,Politics and Government,Social Issues,Peoples of Southern Africa,,,,,,,,,,video recording identifier,90950,,,barcode90950.mov,http://hls-streaming.mla-int.wgbh.org/avalon/22807/barcode90950/PreservationMaster/barcode90950.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Ten O'Clock News,,Default Unit,,Ten O'Clock News,2020-01-02,,,,,,1987-12-15,,"PROGRAM DESCRIPTION: Series Description: 
NIGHTLY NEWS WITH CHRISTOPHER LYDON AND CARMEN FIELDS
Began January 1976.  Replaced evening news show EVENING COMPASS. Original host: Steve Nevas.  Other anchors, Christopher Lydon (1977-91) and Gail Harris (1983). In 1980 - hour long.  Ended in 1991.

(PREDECESSORS:  Louis Lyons began news operations at WGBH in 1952.  The News at 10 began in 1966.  The Reporters premiered in 1970.  The Evening Compass started in 1974.)


ITEM DESCRIPTION: Perennial, inveterate political candidates and disgraced pseudo-celebrities fight back and resurrect themselves, despite their failures and claims of retirement from public arena. Featuring images of figures such as Nixon, Hart, Rice, Biden, and others.
reporter: Kelly",News Tape,"1/2/2020 JGi:Distorted, non-SMPTE bars at the top. Audio content mono on channel 1 and 2. Alternates between both channels.  ",News Report,,Moving Image,,,,,,,,,,,,,,,News and Current Events,Politics and Government,Social Issues,,,,,,,,,,,,,video recording identifier,130933,,,barcode130933.mov,http://hls-streaming.mla-int.wgbh.org/avalon/22807/barcode130933/PreservationMaster/barcode130933.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"Club, The",,Default Unit,,ARTIST'S SHOWCASE,2020-02-10,,,,,,1978-12-21,,"PROGRAM DESCRIPTION: Anthology series of experimental, avant garde video productions.  Program titles:  ""DANCE FOR CAMERA - SHOW I:  DISTRICT I and PALE COOL, PALE WARM;""  ""DANCE FOR CAMERA - SHOW II:  TZADDICK;""  ""DANCE FOR CAMERA - SHOW III:  GEORGE'S HOUSE;""  ""SELECTED WORKS - 1974 - 1975;""   ""THE GIRL WITH THE FLAXEN HAIR;""   ""SET OF COINCIDENCE;""  ""ALL ACROSS BOSTON;""  "" UNTITLED PERFORMANCE BY ROBERT GOLDMAN;"" ""QUIDDATAS;""  ""TELEPORTRAITS;""   ""FOUR SIDED TAPES;""   ""AMY LOWELL;""   ""PRIMORDIAL SOUP;""  ""HOWARD;""  ""THIRD TAPE;""   ""PAST FANTASIES;""  ""SEMI BUFFET;"" ""EAST ENDED TAPE;""  ""A COLOR PIECE FOR TV;""   ""CONTEXTS AND ONE AND MANY;""  ""THREE TRANSITIONS;""  ""CITY SCAPE;""  ""OUT OF TIME;"" ""NO TITLE.""


ITEM DESCRIPTION: THE CLUB, ARTIST SHOWCASE 3061-3063
3 Episodes of The Club, Topical Talk Show featuring musical acts in live dining setting. Featuring musical act Guy Rotondo's Artist's Showcase",Green Label Master (WGBH program),"2/12/2020 GM: Audio from content over bars and tone at top.  , OK",Talk Show,,Moving Image,,,,,,,,,,,,,,,music,film and television,,,,,,,,,,,,,,video recording identifier,144094,,,barcode144094.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode144094/PreservationMaster/barcode144094.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
"Club, The",,Default Unit,,THE CLUB,2020-02-10,,,,,,1979-05-10,,"PROGRAM DESCRIPTION: Once known as Club 44 on channel 44, reincarnated on channel 2 in October 1978. Nightclub/talk show format with host Charlie Stuart, weekdays at 3:30 PM and repeated each night at 11.

See Also: Club 44


ITEM DESCRIPTION: #3148 - 3149 - LUNA CAVETT
2 episodes of The Club, featuring Dick Cavett as guest. ",Green Label Master (WGBH program)," , Video Noise, Audio Buzz",Talk Show,,Moving Image,,,,,,,,,,,,,,,Film and Television,Music,,,,,,,,,,,,,,video recording identifier,144110,,,barcode144110.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode144110/PreservationMaster/barcode144110.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Making Things Grow,,Default Unit,,Mea Culpa,2020-02-10,,,,,,,,"PROGRAM DESCRIPTION: Series Description:  WGBH program hosted by Thalassa Cruso on indoor gardening.
Cruso is archeologist turned horticulturist who demonstrated how to successfully grow plants.


ITEM DESCRIPTION: #149
Episode of Gardening show in which the host apologizes to her audience for insulting Ivy plants, and makes up for it by devoting an episode to their care. ",Backup master (WGBH program),"1/30/2020 JGi: Scratches throughout. , Audio Hiss, Video Noise, Video Picture Breaks up",Educational,,Moving Image,,,,,,,,,,,,,,,Gardening,,,,,,,,,,,,,,,video recording identifier,183997,,,barcode183997.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode183997/PreservationMaster/barcode183997.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Say Brother,,Default Unit,,SAY BROTHER (General Series),2020-02-10,,,,,,,,"PROGRAM DESCRIPTION: Series Description: Say Brother is WGBH's longest running public affairs television program by, for and about African Americans, and is now known as Basic Black. Since its inception in 1968, Say Brother has featured the voices of both locally and nationally known African American artists, athletes, performers, politicians, professionals, and writers including: Muhammad Ali, Maya Angelou, Thomas Atkins, Amiri Baraka, Doris Bunte, Julian Bond, Stokely Carmichael, Louis Farrakhan, Nikki Giovanni, Odetta Gordon, Henry Hampton, Benjamin Hooks, Jesse Jackson, Hubie Jones, Mel King, Eartha Kitt, Elma Lewis, Haki Madhubuti, Wallace D. Muhammad, Charles Ogletree, Babatunde Olatunji, Byron Rushing, Owusu Sadaukai, and Sonia Sanchez.

TITLE CHANGE (to Basic Black) as of Jan. 8, 1998.


ITEM DESCRIPTION: Babatunde Olatunji : Workshop  3
Workshop on african drumming, and its meaning to various cultures and histories, interspersed by performances, all by Babatunde Olatunji, for the purpose of spreading the art and cultures of african drumming",Original footage,"1/22/2020 EMu: No tone over bars at top. Transitional breakups.  , Analog Video Dropouts, Audio Hiss, Video Picture Breaks up",Interview,,Moving Image,,,,,,,,,,,,,,,Music,Performing Arts,Peoples of West Africa,,,,,,,,,,,,,video recording identifier,228140,,,barcode228140.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode228140/PreservationMaster/barcode228140.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
NOVA,,Default Unit,,"KGB, the Computer and Me (The)",2020-02-10,,,,,,1990-05-17,,"PROGRAM DESCRIPTION: Series Description: 
NIGHTLY NEWS WITH CHRISTOPHER LYDON AND CARMEN FIELDS
Began January 1976.  Replaced evening news show EVENING COMPASS. Original host: Steve Nevas.  Other anchors, Christopher Lydon (1977-91) and Gail Harris (1983). In 1980 - hour long.  Ended in 1991.

(PREDECESSORS:  Louis Lyons began news operations at WGBH in 1952.  The News at 10 began in 1966.  The Reporters premiered in 1970.  The Evening Compass started in 1974.)


ITEM DESCRIPTION: Meg Vaillancourt field tape
Education
News Report on Boston's struggle with integrating schools and racial inequality persisting in the city of Boston. Includes BITC.",Original footage,"1/22/2020 EMu: Breakup and dropouts over footage at times. Paused image printed to the tape. Rolling printed to the tape., Analog Video Dropouts, Video Picture Breaks up, Audio Hiss, No Bars and Tone",Performance in a Studio,,Moving Image,,,,,,,,,,,,,,,Science,Technology,,,,,,,,,,,,,,video recording identifier,194140,,,barcode194140.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode194140/PreservationMaster/barcode194140.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
NOVA,,Default Unit,,Hidden City (The),2020-02-07,,,,,,1988-05-19,,"PROGRAM DESCRIPTION: Series description: William Cavness reads works of literature on-air.  According to Cavness' oral history of the beginnings of Reading Aloud, the series came about, in part, due to the Soviet ban of the work Dr. Zhivago in the Fall of 1958, and the books fourth edition falling out of print in the United States.  As such Dr. Zhivago became the first work Cavness read, and the resulting success, directly lead to the creation of the series which ran until Cavness' retirement from WGBH in 1991.


ITEM DESCRIPTION: Episode of Reading Aloud, reading 15, Side B of Charles Dickens's Barnaby Rudge.",Original footage,"1/22/2020 EMu: No tone over bars at top. Timecode burned onto bottom of frame. Film artifacts present. Exposure fluctuates. Timecode plays over black at tail.  Loud hiss over black at tail. , Analog Video Dropouts, Audio Hiss",Interview,,Sound,,,,,,,,,,,,,"North Castle, NY",,Engineering,Transportation and Public Works,,,,,,,,,,,,,,video recording identifier,202905,,,barcode202905_01.wav,http://hls-streaming.mla-int.wgbh.org/avalon/23065/barcode202905/PreservationMaster/barcode202905_01.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
Crockett's Victory Garden,,Default Unit,,Victory Garden 417,2020-02-10,,,,,,,,"PROGRAM DESCRIPTION: Series Description: Say Brother is WGBH's longest running public affairs television program by, for and about African Americans, and is now known as Basic Black. Since its inception in 1968, Say Brother has featured the voices of both locally and nationally known African American artists, athletes, performers, politicians, professionals, and writers including: Muhammad Ali, Maya Angelou, Thomas Atkins, Amiri Baraka, Doris Bunte, Julian Bond, Stokely Carmichael, Louis Farrakhan, Nikki Giovanni, Odetta Gordon, Henry Hampton, Benjamin Hooks, Jesse Jackson, Hubie Jones, Mel King, Eartha Kitt, Elma Lewis, Haki Madhubuti, Wallace D. Muhammad, Charles Ogletree, Babatunde Olatunji, Byron Rushing, Owusu Sadaukai, and Sonia Sanchez.

TITLE CHANGE (to Basic Black) as of Jan. 8, 1998.


ITEM DESCRIPTION: Live stage performance by Earth, Wind & Fire, including a partial performance of the song ""September"". Includes BITC.",Incomplete Master (WGBH program),1/2/2020 JGi:Overexposed footage contains breakup. Poor switch point at the bottom of the frame. Timecode overlay burnt into the frame.,Instructional,,Moving Image,,,,,,,,,,,,,,,Agriculture and Farming,Gardening,,,,,,,,,,,,,,video recording identifier,229446,,,barcode229446.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode229446/PreservationMaster/barcode229446.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
NOVA,,Default Unit,,"KGB, the Computer and Me (The)",2020-02-07,,,,,,1990-05-17,,"PROGRAM DESCRIPTION: What happens when a Berkeley hippie turns detective and gets mixed up with the CIA and the KGB? ""Nova"" follows computer sleuth Cliff Stoll as he tracks a data thief through a maze of military and research computers.


ITEM DESCRIPTION: Original footage of Cliff Stoll, an astronomer, telling the story of how he helped catch hacker Markus Hess for ""The KGB, The Computer and Me"" by Nova. The footage is for rolls Y1 and Y2, and contains multiple takes filmed on 1990-05-15. Includes BITC.",Original footage,"1/22/2020 EMu: Timecode burned at bottom of frame. Exposure fluctuates at times.  , Analog Video Dropouts, Audio Hiss, No Bars and Tone",Performance in a Studio,,Moving Image,,,,,,,,,,,,,,,Science,Technology,,,,,,,,,,,,,,video recording identifier,295954,,,barcode295954.mkv,http://hls-streaming.mla-int.wgbh.org/avalon/23033/barcode295954/PreservationMaster/barcode295954.mp4/master.m3u8,,,,,,,,,480,360,,,,,4:03,480x360,,,,,,
